year_tallied,state,counts
2015-01-01,Maryland,42
2015-01-01,Massachusetts,60
2015-01-01,Michigan,86
2015-01-01,Minnesota,50
2015-01-01,Mississippi,3
2015-01-01,Missouri,33
2015-01-01,Montana,11
2015-01-01,Nebraska,5
2015-01-01,Nevada,36
2015-01-01,New Hampshire,8
2015-01-01,New Jersey,91
2015-01-01,New Mexico,8
2015-01-01,New York,280
2015-01-01,North Carolina,8
2015-01-01,North Dakota,4
2015-01-01,Ohio,67
2015-01-01,Oklahoma,8
2015-01-01,Oregon,33
2015-01-01,Pennsylvania,124
2015-01-01,Rhode Island,13
2015-01-01,South Carolina,8
2015-01-01,Tennessee,16
2015-01-01,Texas,54
2015-01-01,Utah,7
2015-01-01,Vermont,2
2015-01-01,Virginia,36
2015-01-01,Washington,60
2015-01-01,West Virginia,18
2015-01-01,Wisconsin,21
2015-01-01,Wyoming,2
2016-01-01,Alabama,13
2016-01-01,Alaska,3
2016-01-01,Arizona,18
2016-01-01,Arkansas,5
2016-01-01,California,261
2016-01-01,Colorado,33
2016-01-01,Connecticut,24
2016-01-01,Delaware,6
2016-01-01,Florida,49
2016-01-01,Georgia,17
2016-01-01,Hawaii,23
2016-01-01,Idaho,2
2016-01-01,Illinois,98
2016-01-01,Indiana,27
2016-01-01,Iowa,14
2016-01-01,Kansas,10
2016-01-01,Kentucky,17
2016-01-01,Louisiana,8
2016-01-01,Maine,2
2016-01-01,Maryland,42
2016-01-01,Massachusetts,60
2016-01-01,Michigan,75
2016-01-01,Minnesota,47
2016-01-01,Mississippi,4
2016-01-01,Missouri,25
2016-01-01,Montana,7
2016-01-01,Nebraska,3
2016-01-01,Nevada,27
2016-01-01,New Hampshire,12
2016-01-01,New Jersey,91
2016-01-01,New Mexico,6
2016-01-01,New York,201
2016-01-01,North Carolina,10
2016-01-01,Ohio,70
2016-01-01,Oklahoma,4
2016-01-01,Oregon,23
2016-01-01,Pennsylvania,112
2016-01-01,Rhode Island,14
2016-01-01,South Carolina,6
2016-01-01,Tennessee,7
2016-01-01,Texas,48
2016-01-01,Utah,2
2016-01-01,Vermont,3
2016-01-01,Virginia,33
2016-01-01,Washington,67
2016-01-01,West Virginia,5
2016-01-01,Wisconsin,19
2016-01-01,Wyoming,1
2017-01-01,Alabama,20
2017-01-01,Alaska,7
2017-01-01,Arizona,27
2017-01-01,Arkansas,5
2017-01-01,California,289
2017-01-01,Colorado,27
2017-01-01,Connecticut,51
2017-01-01,Delaware,13
2017-01-01,Florida,35
2017-01-01,Georgia,15
2017-01-01,Hawaii,11
2017-01-01,Idaho,11
2017-01-01,Illinois,87
2017-01-01,Indiana,25
2017-01-01,Iowa,14
2017-01-01,Kansas,10
2017-01-01,Kentucky,14
2017-01-01,Louisiana,9
2017-01-01,Maine,5
2017-01-01,Maryland,43
2017-01-01,Massachusetts,58
2017-01-01,Michigan,78
2017-01-01,Minnesota,46
2017-01-01,Mississippi,5
2017-01-01,Missouri,37
2017-01-01,Montana,14
2017-01-01,Nevada,30
2017-01-01,New Hampshire,8
2017-01-01,New Jersey,78
2017-01-01,New Mexico,6
2017-01-01,New York,213
2017-01-01,North Carolina,6
2017-01-01,North Dakota,4
2017-01-01,Ohio,61
2017-01-01,Oklahoma,4
2017-01-01,Oregon,23
2017-01-01,Pennsylvania,92
2017-01-01,Rhode Island,11
2017-01-01,South Carolina,6
2017-01-01,South Dakota,3
2017-01-01,Tennessee,19
2017-01-01,Texas,58
2017-01-01,Utah,4
2017-01-01,Virginia,26
2017-01-01,Washington,57
2017-01-01,West Virginia,12
2017-01-01,Wisconsin,16
2017-01-01,Wyoming,2
2018-01-01,Alabama,10
2018-01-01,Alaska,1
2018-01-01,Arizona,13
2018-01-01,Arkansas,5
2018-01-01,California,199
2018-01-01,Colorado,15
2018-01-01,Connecticut,23
2018-01-01,Delaware,2
2018-01-01,Florida,29
2018-01-01,Georgia,21
2018-01-01,Hawaii,13
2018-01-01,Idaho,5
2018-01-01,Illinois,87
2018-01-01,Indiana,33
2018-01-01,Iowa,12
2018-01-01,Kansas,10
2018-01-01,Kentucky,19
2018-01-01,Louisiana,9
2018-01-01,Maine,6
2018-01-01,Maryland,21
2018-01-01,Massachusetts,54
2018-01-01,Michigan,70
2018-01-01,Minnesota,36
2018-01-01,Mississippi,2
2018-01-01,Missouri,30
2018-01-01,Montana,10
2018-01-01,Nebraska,3
2018-01-01,Nevada,30
2018-01-01,New Hampshire,2
2018-01-01,New Jersey,91
2018-01-01,New Mexico,6
2018-01-01,New York,157
2018-01-01,North Carolina,7
2018-01-01,North Dakota,3
2018-01-01,Ohio,41
2018-01-01,Oklahoma,8
2018-01-01,Oregon,36
2018-01-01,Pennsylvania,78
2018-01-01,Rhode Island,10
2018-01-01,South Carolina,2
2018-01-01,South Dakota,1
2018-01-01,Tennessee,9
2018-01-01,Texas,36
2018-01-01,Utah,4
2018-01-01,Vermont,3
2018-01-01,Virginia,18
2018-01-01,Washington,55
2018-01-01,West Virginia,12
2018-01-01,Wisconsin,18
2018-01-01,Wyoming,3
2019-01-01,Alabama,5
2019-01-01,Alaska,6
2019-01-01,Arizona,11
2019-01-01,Arkansas,3
2019-01-01,California,213
2019-01-01,Colorado,15
2019-01-01,Connecticut,33
2019-01-01,Delaware,7
2019-01-01,Florida,29
2019-01-01,Georgia,14
2019-01-01,Hawaii,18
2019-01-01,Idaho,8
2019-01-01,Illinois,117
2019-01-01,Indiana,25
2019-01-01,Iowa,12
2019-01-01,Kansas,3
2019-01-01,Kentucky,18
2019-01-01,Louisiana,3
2019-01-01,Maine,9
2019-01-01,Maryland,35
2019-01-01,Massachusetts,54
2019-01-01,Michigan,50
2019-01-01,Minnesota,25
2019-01-01,Mississippi,3
2019-01-01,Missouri,25
2019-01-01,Montana,8
2019-01-01,Nebraska,5
2019-01-01,Nevada,46
2019-01-01,New Hampshire,4
2019-01-01,New Jersey,61
2019-01-01,New Mexico,8
2019-01-01,New York,175
2019-01-01,North Carolina,17
2019-01-01,North Dakota,4
2019-01-01,Ohio,41
2019-01-01,Oklahoma,8
2019-01-01,Oregon,41
2019-01-01,Pennsylvania,87
2019-01-01,Rhode Island,11
2019-01-01,South Carolina,3
2019-01-01,Tennessee,4
2019-01-01,Texas,42
2019-01-01,Utah,6
2019-01-01,Vermont,3
2019-01-01,Virginia,21
2019-01-01,Washington,55
2019-01-01,West Virginia,17
2019-01-01,Wisconsin,16
2020-01-01,Alabama,8
2020-01-01,Alaska,10
2020-01-01,Arizona,12
2020-01-01,Arkansas,2
2020-01-01,California,164
2020-01-01,Colorado,10
2020-01-01,Connecticut,19
2020-01-01,Delaware,5
2020-01-01,Florida,32
2020-01-01,Georgia,11
2020-01-01,Hawaii,9
2020-01-01,Idaho,5
2020-01-01,Illinois,76
2020-01-01,Indiana,16
2020-01-01,Iowa,6
2020-01-01,Kansas,4
2020-01-01,Kentucky,16
2020-01-01,Louisiana,2
2020-01-01,Maine,3
2020-01-01,Maryland,15
2020-01-01,Massachusetts,24
2020-01-01,Michigan,47
2020-01-01,Minnesota,30
2020-01-01,Mississippi,2
2020-01-01,Missouri,14
2020-01-01,Montana,9
2020-01-01,Nebraska,2
2020-01-01,Nevada,10
2020-01-01,New Jersey,46
2020-01-01,New Mexico,6
2020-01-01,New York,112
2020-01-01,North Carolina,5
2020-01-01,Ohio,43
2020-01-01,Oklahoma,4
2020-01-01,Oregon,23
2020-01-01,Pennsylvania,62
2020-01-01,Rhode Island,11
2020-01-01,South Carolina,3
2020-01-01,South Dakota,2
2020-01-01,Tennessee,8
2020-01-01,Texas,42
2020-01-01,Utah,2
2020-01-01,Vermont,1
2020-01-01,Virginia,23
2020-01-01,Washington,40
2020-01-01,West Virginia,6
2020-01-01,Wisconsin,15
2020-01-01,Wyoming,4
2021-01-01,Alabama,6
2021-01-01,Alaska,5
2021-01-01,Arizona,12
2021-01-01,Arkansas,3
2021-01-01,California,176
2021-01-01,Colorado,21
2021-01-01,Connecticut,35
2021-01-01,Delaware,9
2021-01-01,Florida,20
2021-01-01,Georgia,15
2021-01-01,Hawaii,18
2021-01-01,Idaho,2
2021-01-01,Illinois,107
2021-01-01,Indiana,19
2021-01-01,Iowa,4
2021-01-01,Kansas,7
2021-01-01,Kentucky,10
2021-01-01,Louisiana,7
2021-01-01,Maine,3
2021-01-01,Maryland,23
2021-01-01,Massachusetts,33
2021-01-01,Michigan,36
2021-01-01,Minnesota,36
2021-01-01,Mississippi,2
2021-01-01,Missouri,22
2021-01-01,Montana,5
2021-01-01,Nebraska,2
2021-01-01,Nevada,18
2021-01-01,New Hampshire,4
2021-01-01,New Jersey,53
2021-01-01,New Mexico,7
2021-01-01,New York,159
2021-01-01,North Carolina,9
2021-01-01,North Dakota,1
2021-01-01,Ohio,26
2021-01-01,Oklahoma,3
2021-01-01,Oregon,33
2021-01-01,Pennsylvania,84
2021-01-01,Rhode Island,9
2021-01-01,South Dakota,1
2021-01-01,Tennessee,9
2021-01-01,Texas,37
2021-01-01,Utah,3
2021-01-01,Vermont,5
2021-01-01,Virginia,15
2021-01-01,Washington,58
2021-01-01,West Virginia,6
2021-01-01,Wisconsin,20
2022-01-01,Alabama,7
2022-01-01,Alaska,4
2022-01-01,Arizona,31
2022-01-01,Arkansas,6
2022-01-01,California,288
2022-01-01,Colorado,38
2022-01-01,Connecticut,33
2022-01-01,Delaware,7
2022-01-01,Florida,38
2022-01-01,Georgia,23
2022-01-01,Hawaii,13
2022-01-01,Idaho,8
2022-01-01,Illinois,122
2022-01-01,Indiana,28
2022-01-01,Iowa,11
2022-01-01,Kansas,13
2022-01-01,Kentucky,21
2022-01-01,Louisiana,5
2022-01-01,Maine,7
2022-01-01,Maryland,54
2022-01-01,Massachusetts,81
2022-01-01,Michigan,55
2022-01-01,Minnesota,66
2022-01-01,Mississippi,1
2022-01-01,Missouri,56
2022-01-01,Montana,10
2022-01-01,Nebraska,4
2022-01-01,Nevada,23
2022-01-01,New Hampshire,4
2022-01-01,New Jersey,55
2022-01-01,New Mexico,12
2022-01-01,New York,194
2022-01-01,North Carolina,16
2022-01-01,North Dakota,2
2022-01-01,Ohio,61
2022-01-01,Oklahoma,10
2022-01-01,Oregon,89
2022-01-01,Pennsylvania,120
2022-01-01,Rhode Island,9
2022-01-01,South Carolina,3
2022-01-01,South Dakota,1
2022-01-01,Tennessee,18
2022-01-01,Texas,49
2022-01-01,Utah,9
2022-01-01,Vermont,10
2022-01-01,Virginia,34
2022-01-01,Washington,99
2022-01-01,West Virginia,10
2022-01-01,Wisconsin,20
2022-01-01,Wyoming,2
